Search type: State
Filters: Has Characteristics
Accepted Symbol,Synonym,Scientific Name,Common Name
"ERPI7",,"Ericameria pinifolia (A. Gray) H.M. Hall",pinebush
"ERPH",,"Erigeron philadelphicus L.",Philadelphia fleabane
"ERFA2",,"Eriogonum fasciculatum Benth.",Eastern Mojave buckwheat
"ERMI4",,"Eriogonum microthecum Nutt.",slender buckwheat
"ERUM",,"Eriogonum umbellatum Torr.",sulphur-flower buckwheat
"ERWR",,"Eriogonum wrightii Torr. ex Benth.",bastardsage
"ERBO",,"Erodium botrys (Cav.) Bertol.",longbeak stork's bill
"ERCAC",,"Erysimum capitatum (Douglas ex Hook.) Greene var. capitatum ",sanddune wallflower
"ESCA2",,"Eschscholzia californica Cham.",California poppy
"EUGL",,"Eucalyptus globulus Labill.",Tasmanian bluegum
"EUOC4",,"Euthamia occidentalis Nutt.",western goldentop
"FAPA",,"Fallugia paradoxa (D. Don) Endl. ex Torr.",Apache plume
"FOPUP",,"Forestiera pubescens Nutt. var. pubescens ",stretchberry
"FRCAC5",,"Frangula californica (Eschsch.) A. Gray ssp. californica ",California buckthorn
"FRLA",,"Fraxinus latifolia Benth.",Oregon ash
"FRVE2",,"Fraxinus velutina Torr.",velvet ash
"FRCA6",,"Fremontodendron californicum (Torr.) Coville",California flannelbush
"GAAP2",,"Galium aparine L.",stickywilly
"GATR2",,"Galium trifidum L.",threepetal bedstraw
"GERI",,"Geranium richardsonii Fisch. & Trautv.",Richardson's geranium
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"GRSP",,"Grayia spinosa (Hook.) Moq.",spiny hopsage
"GUSA2",,"Gutierrezia sarothrae (Pursh) Britton & Rusby",broom snakeweed
"HEAN3",,"Helianthus annuus L.",common sunflower
"HENU",,"Helianthus nuttallii Torr. & A. Gray",Nuttall's sunflower
"HECU3",,"Heliotropium curassavicum L.",salt heliotrope
"HIAL2",,"Hieracium albiflorum Hook.",white hawkweed
"HODI",,"Holodiscus discolor (Pursh) Maxim.",oceanspray
"HOBR2",,"Hordeum brachyantherum Nevski",meadow barley
"HOBRC2",,"Hordeum brachyantherum Nevski ssp. californicum (Covas & Stebbins) Bothmer, N. Jacobsen & Seberg",California barley
"HOVU",,"Hordeum vulgare L.",common barley
"IRMI",,"Iris missouriensis Nutt.",Rocky Mountain iris
"JURE80",,"Juglans regia L.",English walnut
"JUBU",,"Juncus bufonius L.",toad rush
"JUEN",,"Juncus ensifolius Wikstr.",swordleaf rush
"JUME3",,"Juncus mertensianus Bong.",Mertens' rush
"JUME4",,"Juncus mexicanus Willd. ex Schult. & Schult. f.",Mexican rush
"JUNE",,"Juncus nevadensis S. Watson",Sierra rush
"JUTE",,"Juncus tenuis Willd.",poverty rush
"JUTO",,"Juncus torreyi Coville",Torrey's rush
"KOMA",,"Koeleria macrantha (Ledeb.) Schult.",prairie Junegrass
"KRLA2",,"Krascheninnikovia lanata (Pursh) A. Meeuse & Smit",winterfat
"LALA4",,"Lathyrus latifolius L.",perennial pea
"LAAS",,"Lavatera assurgentiflora Kellogg",island mallow
"LEMI3",,"Lemna minor L.",common duckweed
"LETR",,"Lemna trisulca L.",star duckweed
"LEFUF",,"Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow",bearded sprangletop
"LECI4",,"Leymus cinereus (Scribn. & Merr.) Á. Löve",basin wildrye
"LECO12",,"Leymus condensatus (J. Presl) Á. Löve",giant wildrye
"LETR5",,"Leymus triticoides (Buckley) Pilg.",beardless wildrye
"LOPE",,"Lolium perenne L.",perennial ryegrass
"LOPEM2",,"Lolium perenne L. ssp. multiflorum (Lam.) Husnot",Italian ryegrass
"LODI",,"Lomatium dissectum (Nutt.) Mathias & Constance",fernleaf biscuitroot
"LOMA3",,"Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose",bigseed biscuitroot
"LOCO6",,"Lotus corniculatus L.",bird's-foot trefoil
"LOCR",,"Lotus crassifolius (Benth.) Greene",big deervetch
"LUAR",,"Lupinus arboreus Sims",yellow bush lupine
"LULA4",,"Lupinus latifolius Lindl. ex J. Agardh",broadleaf lupine
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"MAAQ2",,"Mahonia aquifolium (Pursh) Nutt.",hollyleaved barberry
"MELU",,"Medicago lupulina L.",black medick
"MEPO3",,"Medicago polymorpha L.",burclover
"MESA",,"Medicago sativa L.",alfalfa
"MEIM",,"Melica imperfecta Trin.",smallflower melicgrass
"MEOF",,"Melilotus officinalis (L.) Lam.",sweetclover
"MEAR4",,"Mentha arvensis L.",wild mint
"MICA3",,"Mimulus cardinalis Douglas ex Benth.",scarlet monkeyflower
"MIGU",,"Mimulus guttatus DC.",seep monkeyflower
"MIMU",,"Mirabilis multiflora (Torr.) A. Gray",Colorado four o'clock
"MONU",,"Monolepis nuttalliana (Schult.) Greene",Nuttall's povertyweed
"MOCA6",,"Morella californica (Cham.) Wilbur",California wax myrtle
"MUAS",,"Muhlenbergia asperifolia (Nees & Meyen ex Trin.) Parodi",scratchgrass
"MURI",,"Muhlenbergia richardsonis (Trin.) Rydb.",mat muhly
"MURI2",,"Muhlenbergia rigens (Benth.) Hitchc.",deergrass
"NAFL",,"Najas flexilis (Willd.) Rostk. & Schmidt",nodding waternymph
"NACE",,"Nassella cernua (Stebbins & R.M. Love) Barkworth",nodding needlegrass
"NALE2",,"Nassella lepida (Hitchc.) Barkworth",foothill needlegrass
"NAPU4",,"Nassella pulchra (Hitchc.) Barkworth",purple needlegrass
"NEOL",,"Nerium oleander L.",oleander
"NIOC2",,"Nitrophila occidentalis (Moq.) S. Watson",boraxweed
"OEEL",,"Oenothera elata Kunth",Hooker's evening primrose
"OEELH2",,"Oenothera elata Kunth ssp. hookeri (Torr. & A. Gray) W. Dietr. & W.L. Wagner",Hooker's evening primrose
"OPFI",,"Opuntia ficus-indica (L.) Mill.",Barbary fig
"OPPO",,"Opuntia polyacantha Haw.",plains pricklypear
"PAMI2",,"Panicum miliaceum L.",proso millet
"PADI3",,"Paspalum dilatatum Poir.",dallisgrass
"PADI6",,"Paspalum distichum L.",knotgrass
"PAVA",,"Paspalum vaginatum Sw.",seashore paspalum
"PEGL2",,"Pennisetum glaucum (L.) R. Br.",pearl millet
"PESE3",,"Pennisetum setaceum (Forssk.) Chiov.",crimson fountaingrass
"PEEA",,"Penstemon eatonii A. Gray",firecracker penstemon
"PESP",,"Penstemon speciosus Douglas ex Lindl.",royal penstemon
"PEGA3",,"Perideridia gairdneri (Hook. & Arn.) Mathias",Gardner's yampah
"PEPA21",,"Perideridia parishii (J.M. Coult. & Rose) A. Nelson & J.F. Macbr.",Parish's yampah
"PHHA",,"Phacelia hastata Douglas ex Lehm.",silverleaf phacelia
"PHTA",,"Phacelia tanacetifolia Benth.",lacy phacelia
"PHAQ",,"Phalaris aquatica L.",bulbous canarygrass
"PHAU7",,"Phragmites australis (Cav.) Trin. ex Steud.",common reed
"PHNO2",,"Phyla nodiflora (L.) Greene",turkey tangle fogfruit
"PHAM4",,"Phytolacca americana L.",American pokeweed
"PIDE4",,"Picrothamnus desertorum Nutt.",bud sagebrush
"PICO",,"Pinus contorta Douglas ex Loudon",lodgepole pine
"PICO3",,"Pinus coulteri D. Don",Coulter pine
"PIFL2",,"Pinus flexilis James",limber pine
"PIJE",,"Pinus jeffreyi Balf.",Jeffrey pine
"PILA",,"Pinus lambertiana Douglas",sugar pine
"PIMO",,"Pinus monophylla Torr. & Frém.",singleleaf pinyon
"PIMU",,"Pinus muricata D. Don",Bishop pine
"PIPO",,"Pinus ponderosa Lawson & C. Lawson",ponderosa pine
"PISA2",,"Pinus sabiniana Douglas ex Douglas",California foothill pine
"PLMA2",,"Plantago major L.",common plantain
"PLPA2",,"Plantago patagonica Jacq.",woolly plantain
"PLRA",,"Platanus racemosa Nutt.",California sycamore
"PLRI3",,"Pleuraphis rigida Thurb.",big galleta
"PLODO",,"Pluchea odorata (L.) Cass. var. odorata ",sweetscent
"POAN",,"Poa annua L.",annual bluegrass
"POPA2",,"Poa palustris L.",fowl bluegrass
"POSE",,"Poa secunda J. Presl",Sandberg bluegrass
"POHY2",,"Polygonum hydropiperoides Michx.",swamp smartweed
"POPU5",,"Polygonum punctatum Elliott",dotted smartweed
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"POBA2",,"Populus balsamifera L.",balsam poplar
"POBAT",,"Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw",black cottonwood
"POFR2",,"Populus fremontii S. Watson",Fremont cottonwood
"POCR3",,"Potamogeton crispus L.",curly pondweed
"POGL9",,"Potentilla glandulosa Lindl.",sticky cinquefoil
"POGR9",,"Potentilla gracilis Douglas ex Hook.",slender cinquefoil
"PRVU",,"Prunella vulgaris L.",common selfheal
"PREM",,"Prunus emarginata (Douglas ex Hook.) D. Dietr.",bitter cherry
"PRFA",,"Prunus fasciculata (Torr.) A. Gray",desert almond
"PRILL",,"Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr. ssp. lyonii (Eastw.) P.H. Raven",hollyleaf cherry
"PRVI",,"Prunus virginiana L.",chokecherry
"PRVID",,"Prunus virginiana L. var. demissa (Nutt.) Torr.",western chokecherry
"PSMA",,"Pseudotsuga macrocarpa (Vasey) Mayr",bigcone Douglas-fir
"PTAQ",,"Pteridium aquilinum (L.) Kuhn",western brackenfern
"PUGR2",,"Punica granatum L.",pomegranate
"PUGL2",,"Purshia glandulosa Curran",desert bitterbrush
"PUTR2",,"Purshia tridentata (Pursh) DC.",antelope bitterbrush
"QUAG",,"Quercus agrifolia Née",California live oak
"QUCH2",,"Quercus chrysolepis Liebm.",canyon live oak
"QUDO",,"Quercus douglasii Hook. & Arn.",blue oak
"QUDU",,"Quercus dumosa Nutt.",coastal sage scrub oak
"QUGA4",,"Quercus garryana Douglas ex Hook.",Oregon white oak
"QUKE",,"Quercus kelloggii Newberry",California black oak
"QULO",,"Quercus lobata Née",valley oak
"QUVA",,"Quercus vacciniifolia Kellogg",huckleberry oak
"RACY",,"Ranunculus cymbalaria Pursh",alkali buttercup
"RHCR",,"Rhamnus crocea Nutt.",redberry buckthorn
"RHOV",,"Rhus ovata S. Watson",sugar sumac
"RHTR",,"Rhus trilobata Nutt.",skunkbush sumac
"RIAU",,"Ribes aureum Pursh",golden currant
"RICE",,"Ribes cereum Douglas",wax currant
"RIMO2",,"Ribes montigenum McClatchie",gooseberry currant
"RINE",,"Ribes nevadense Kellogg",Sierra currant
"RIRO",,"Ribes roezlii Regel",Sierra gooseberry
"RIVI",,"Ribes viburnifolium A. Gray",island gooseberry
"ROPS",,"Robinia pseudoacacia L.",black locust
"ROCU",,"Rorippa curvisiliqua (Hook.) Besser ex Britton",curvepod yellowcress
"ROCA2",,"Rosa californica Cham. & Schltdl.",California wildrose
"ROGY",,"Rosa gymnocarpa Nutt.",dwarf rose
"ROWO",,"Rosa woodsii Lindl.",Woods' rose
"RULE",,"Rubus leucodermis Douglas ex Torr. & A. Gray",whitebark raspberry
"RUPA",,"Rubus parviflorus Nutt.",thimbleberry
"RUUR",,"Rubus ursinus Cham. & Schltdl.",California blackberry
"RUMA4",,"Rumex maritimus L.",golden dock
"RUMA5",,"Ruppia maritima L.",widgeongrass
"SAAL2",,"Salix alba L.",white willow
"SAEX",,"Salix exigua Nutt.",narrowleaf willow
"SAGO",,"Salix gooddingii C.R. Ball",Goodding's willow
"SALA6",,"Salix lasiolepis Benth.",arroyo willow
"SALU",,"Salix lucida Muhl.",shining willow
"SALUL",,"Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray",Pacific willow
"SASC",,"Salix scouleriana Barratt ex Hook.",Scouler's willow
"SADO4",,"Salvia dorrii (Kellogg) Abrams",purple sage
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"SAMI3",,"Sanguisorba minor Scop.",small burnet
"SCTE",,"Schinus terebinthifolius Raddi",Brazilian peppertree
"SCCA11",,"Schoenoplectus californicus (C.A. Mey.) Palla",California bulrush
"SCTA2",,"Schoenoplectus tabernaemontani (C.C. Gmel.) Palla",softstem bulrush
"SCMI2",,"Scirpus microcarpus J. Presl & C. Presl",panicled bulrush
"SETR",,"Senecio triangularis Hook.",arrowleaf ragwort
"SEVU",,"Senecio vulgaris L.",old-man-in-the-Spring
"SEIT",,"Setaria italica (L.) P. Beauv.",foxtail millet
"SINE3",,"Sidalcea neomexicana A. Gray",salt spring checkerbloom
"SOLYL",,"Solanum lycopersicum L. var. lycopersicum ",garden tomato
"SOHA",,"Sorghum halepense (L.) Pers.",Johnsongrass
"SPAM2",,"Sphaeralcea ambigua A. Gray",desert globemallow
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"STNI",,"Stellaria nitens Nutt.",shiny chickweed
"STSE",,"Stenotaphrum secundatum (Walter) Kuntze",St. Augustine grass
"SYAL",,"Symphoricarpos albus (L.) S.F. Blake",common snowberry
"SYLAH6",,"Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. hesperium (A. Gray) G.L. Nesom var. hesperium ",white panicle aster
"TAOF",,"Taraxacum officinale F.H. Wigg.",common dandelion
"TECA2",,"Tetradymia canescens DC.",spineless horsebrush
"TEGL",,"Tetradymia glabrata Torr. & A. Gray",littleleaf horsebrush
"TESP2",,"Tetradymia spinosa Hook. & Arn.",shortspine horsebrush
"THIN6",,"Thinopyrum intermedium (Host) Barkworth & D.R. Dewey",intermediate wheatgrass
"THPO7",,"Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang",tall wheatgrass
"TRPO",,"Tragopogon porrifolius L.",salsify
"TRHI4",,"Trifolium hirtum All.",rose clover
"TRPR2",,"Trifolium pratense L.",red clover
"TRRE3",,"Trifolium repens L.",white clover
"TRWO",,"Trifolium wormskioldii Lehm.",cows clover
"TRAE",,"Triticum aestivum L.",common wheat
"TYLA",,"Typha latifolia L.",broadleaf cattail
"ULPA",,"Ulmus parvifolia Jacq.",Chinese elm
"UMCA",,"Umbellularia californica (Hook. & Arn.) Nutt.",California laurel
"VECA2",,"Veratrum californicum Durand",California false hellebore
"VEEN",,"Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray",golden crownbeard
"VIAM",,"Vicia americana Muhl. ex Willd.",American vetch
"VIBE",,"Vicia benghalensis L.",
"VISA",,"Vicia sativa L.",garden vetch
"VIVI",,"Vicia villosa Roth",winter vetch
"VIVIV8",,"Vicia villosa Roth ssp. varia (Host) Corb.",winter vetch
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
